kind,identifier,chunks,status,reference_author,reference_year,reference_title,reference_section
drive,1asX74LMu-mPVLx0kJ9HqoX_R2LgPIctF,29,proposta de capa — não gravar automaticamente,,,mórbida submetidos à cirurgia bariátrica. Graduada em Medicina Aliandro Willy Duarte Magalhães8,
drive,1Zs9Egj29vROqQ5Jc_drE6Jr5-0_ai4j6,39,proposta de capa — não gravar automaticamente,,,3 Doutor em Gastroenterologia Cirúrgia,
drive,1YZBXloGp4a2-hYLNDvlzZe-RwqQ_82bG,81,proposta de capa — não gravar automaticamente,,,2. Obesidade - Cirurgia 3. Obesidade - Cuidado e tratamento 4. Obesidade - Fatores de risco,
drive,10fr5jLhUgQBUgPEg_NfvH_oNCrqmwo_S,41,proposta de capa — não gravar automaticamente,,,Cirurgia Bariátrica: Técnicas e Resultados: Revisão das técnicas cirúrgicas no tratamento da,
drive,1vhBGYtuJbVsg2k8fh5x8ZFvL6SDC81fY,56,proposta de capa — não gravar automaticamente,,,Avaliação em Enfermagem; Enfermagem Médico-Cirúrgica,
drive,1FCdYFq79-qL4t0wgmmrOmaOnU_p9vDwv,44,proposta de capa — não gravar automaticamente,,,DOI: 10.1590/0100-6991e-20202595 Artigo de revisão A atuação da Angiologia e da Cirurgia Vascular na pandemia,
drive,1fK0AF3jec4OrQtIAROJPKMrdU8VWv89F,6,proposta de capa — não gravar automaticamente,,,Assistência de Enfermagem e Intercorrências no Pós-Operatório Imediato (POI),
drive,1GTAHERp-d3jlwo9iPV2fobEiYdm_NmkA,11,proposta de capa — não gravar automaticamente,,,CUIDADO DE ENFERMAGEM AO PACIENTE CIRURGICO NO PERÍODO,
drive,1Otw5FXgeZJGUbhakBu-M56rpoUVgznpS,50,proposta de capa — não gravar automaticamente,,,Miguir Terezinha Vieccelli Resumo Donoso1 Objetivo: Analisar a demanda de enfermagem nos cuidados de,
drive,1XoSi4a7hJA7A9GdWxQxGucwCv3WLhv1f,57,proposta de capa — não gravar automaticamente,,,EDIÇÃO TEMÁTICA ARTIGO ORIGINAL PRÁTICAS AVANÇADAS DE ENFERMAGEM,
drive,1SllmrhJX8SuZi5i6kFikDqBCtngSFhzh,28,proposta de capa — não gravar automaticamente,,,"Enfermagem (BDEnf) e do buscador acadêmico Google Acadêmico, utilizando os descritores “cirurgia”",
drive,14dVMPLHlYsu5YP1GrC0_aFlMQWqy8Z8N,15,proposta de capa — não gravar automaticamente,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA – UFSC CENTRO DE CIÊNCIAS DA SAÚDE- CCS DEPARTAMENTO DE ENFERMAGEM,
drive,1z24RFyNSXK70wgr9-a3KZ9257xGsRJTD,57,proposta de capa — não gravar automaticamente,,,Atenção à saúde CUIDADOS DE ENFERMAGEM A PACIENTES EM PRÉ-OPERATÓRIO,
drive,11yYTHeY94hOPFBZaB2Zlt2Wiw2qxVuX4,49,proposta de capa — não gravar automaticamente,,,ISSN: 2764-4987 DOI: https://doi.org/10.56166/remici.2023.5.v2n3.18.32 A IMPORTÂNCIA DOS CUIDADOS DE ENFERMAGEM NO PERÍODO,
drive,12F8539ZNtvLtx5nGmPOtUPJ6clbVvNJU,35,proposta de capa — não gravar automaticamente,,,Palavras-chave: Anestesia. Cuidados pré-operatórios. Período pré-operatório,
drive,1ajbzLqRKBfhN6X2Dz1yIJyWVc1JQ2Hw8,32,proposta de capa — não gravar automaticamente,,,seja utilizado para o controle mais efetivo da dor. Descritores: Cuidados de Enfermagem; Dor; Dor,
drive,1nAb093keQj_Yhc0ggBrbFitGFblbrudE,26,proposta de capa — não gravar automaticamente,,,"vem trazendo a semiologia, tratamento e cuidados de enfermagem",
drive,1EPCBDJS70QMGgzsxG7WNHoP0GaN4feCD,42,proposta de capa — não gravar automaticamente,,,Revista Eletrônica Acervo Saúde / Electronic Journal Collection Health | ISSN 2178-2091 A efetividade do tratamento da dor no pós operatório de cirurgias,
drive,1PqMF2K_ijUIrkhqDL-28KPJSA5dwinzY,38,proposta de capa — não gravar automaticamente,,,Descritores: Dor Pós-operatória; Manejo da Dor; Enfermagem,
drive,14FpkEkVZ8rQQQ6bS9Sw3m1bfWXykFSQR,97,proposta de capa — não gravar automaticamente,,,1ª Edição – 2019 SFH / HU-UFSC Guia para preparo de,
drive,1Tm4GYvbkUYo315CYRF4ssgWIoAdjIC-H,15,proposta de capa — não gravar automaticamente,,,ANALGÉSICOS SUBSTÂNCIA APRESENTAÇÃO REAÇÕES ADVERSAS PRINCIPAIS CUIDADOS AÇÃO E TEMPO DE ATIVA E NOME DILUIÇÃO DE ENFERMAGEM,
drive,1wfGN61loXz7AcLSqxsqWZ1S639SBcymR,376,proposta de capa — não gravar automaticamente,,,COORDENAÇÃO DE ATENÇÃO À SAÚDE DA PESSOA COM DEFICIÊNCIA LINHA DE CUIDADOS DA,
drive,1ldnVPOO96XZstBvujx0cRJAqO9lDyHKE,58,proposta de capa — não gravar automaticamente,,,EAN PESQUISA | RESEARCH www.scielo.br/ Qualidade de vida da pessoa estomizada: relação com os cuidados prestados na consulta de enfermagem de,
drive,1OMQVMDvrNhaDt46uOzTIf8vELVNQuJFz,17,proposta de capa — não gravar automaticamente,,,Apresentando a guia “Desbridamento,
drive,1BF7mv42fMWtWbl-RFEM2kMqC7u_JvfXl,35,proposta de capa — não gravar automaticamente,,,Dissertações da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior e da Associação Brasileira de Enfermagem - Centro de Estudos e Pesquisas em Enfermagem,
drive,1B6zSzhdLAkuIo6tAsxUEjnvdu5sparL5,38,proposta de capa — não gravar automaticamente,,,ARTIGO 9 CICATRIZAÇÃO E TRATAMENTO DE FERIDAS: A,
drive,1_WY-Q4LoAi4Fkd5paSX5-Ckx7S922iSP,124,proposta de capa — não gravar automaticamente,,,AANNTTIISSEEPPTTIICCSS IINN PPRRAACCTTIICCEE MANAGING THE CHALLENGES AND RISKS OF INFECTION IN WOUND CARE,
drive,1m_HSGwUzG5sl9cy09ExR1YxXuR4KjBfh,82,proposta de capa — não gravar automaticamente,,,MANUAL PRÁTICO Da avaliação ao tratamento: os cuidados de enfermagem às,
drive,15c3UdgWIO_hpDM5qFP0cuoBCxVpwSH4E,207,proposta de capa — não gravar automaticamente,,,PROTOCOLO DE ENFERMAGEM VOLUME 6 CUIDADO À PESSOA COM FERIDA,
drive,1_8WY52g7BmnDCgiOeCVR5Adm3rhaTlTz,35,proposta de capa — não gravar automaticamente,,,RReevviissttaa RReeddee ddee CCuuiiddaaddooss eemm SSaaúúddee IISSSSNN--11998822--66445511 FERIDAS COMPLEXAS E O BIOFILME: ATUALIZAÇÃO DE SABERES E PRÁTICAS PARA ENFERMAGEM,
drive,16GLTKTwbrmzK0Ss_EvupoyQQEm6kYSpG,36,proposta de capa — não gravar automaticamente,,,Revisão realizada no Departamento de Cirurgia da Universidade Federal do Rio Grande do,
drive,1kxe4y0u6waPpmW3VJFlZ7eGTam0959gI,477,proposta de capa — não gravar automaticamente,,,Enfermagem em Terapia Nutricional Parenteral TERAPIA Guia de Cuidados,
drive,1EP6smNAfD1mGvxlFI60zdWYI0AUiBzbS,42,proposta de capa — não gravar automaticamente,,,| ARTIGO DE REVISÃO | Posicionamento cirúrgico: uma atualização das evidências científicas para intervenções de enfermagem,
drive,14j2akP9bZLD6Q85b7gvMJf4ULWCMSBY3,30,proposta de capa — não gravar automaticamente,,,O papel do enfermeiro na prevenção de infecção no sítio cirúrgico The role of the nurse in preventing infection in the surgical site,
drive,1CPPdhEiV2JsIGCOXovYj7RwLn35BnUB6,93,proposta de capa — não gravar automaticamente,,,Surgical site infection in elective clean and clean-contaminated,
drive,1R0Pzaanq3GvepGiV9SLU7-La9BmGoui1,42,proposta de capa — não gravar automaticamente,,,2020;33(4):e1558 Artigo de Revisão DOI: https://doi.org/10.1590/0102-672020200004e1558 O QUE HÁ DE NOVO EM INFECÇÃO DO SÍTIO CIRÚRGICO E,
drive,1thXt7VYhkq97lqBrzin2Fu3KiLajarG-,30,proposta de capa — não gravar automaticamente,,,| ARTIGO DE REVISÃO | O Que uSaR NO PRePaRO CIRÚRGICO Da Pele,
drive,1Um9T9xAIcWTPoL44NBgQQNMOz4V_IjQW,862,proposta de capa — não gravar automaticamente,,,GLOBAL GUIDELINES FOR THE PREVENTION OF SURGICAL SITE INFECTION,
drive,1jqsGK86i2AcDj9ATPyU13kcsRLkmCNJn,43,proposta de capa — não gravar automaticamente,,,Descritores: Enfermagem Perioperatória; Período Intraoperatório; Cuidados de Enfermagem,
drive,1z_YMS4BiOR5VPF_bpTCBcqH1dnsd6KwT,4,proposta de capa — não gravar automaticamente,,,Prof. Vanessa Martinhago Borges Fernandes Resumo 4 tempos cirúrgicos: Fundamentais para a organização da assistência de enfermagem no centro cirúrgico,
drive,1Y0kgBCwjfPSAN9WAsXB2nCoM8oJM-mFJ,31,proposta de capa — não gravar automaticamente,,,de Material e Esteriliza(cid:141)(cid:139)o para Enfermagem OOO Fernando Riegel,
drive,1ylCscDwfJvWf0BnRcKVBol8GfilwPNuk,81,proposta de capa — não gravar automaticamente,,,MANUAL DE ROTINAS DO CENTRO CIRÚRGICO,
drive,1Dfa11eSLLIDE5S6eZPY8_qP3fG7WZQTx,45,proposta de capa — não gravar automaticamente,,,"Núcleo de Cirurgia Experimental, Universidade Federal do Rio Grande do Norte (UFRN)",
drive,1sC_kwbQ0Rl_EzmUhpNd5qkiMZ6nRs1h8,46,proposta de capa — não gravar automaticamente,,,"Palavras-chave: Alimentação, Cuidados pós-operatórios, Cirurgia. ABSTRACT",
drive,1-y2_9a53d0ArQgLc4_PtZ22yBECV3rzN,86,proposta de capa — não gravar automaticamente,,,Descritores: Assistência Perioperatória. Terapia Nutricional. Protocolos. Guia de Prática Clínica,
drive,1sZ-qNwzDCdhcj1osXoe3SQx-B6Nmikf9,398,proposta de capa — não gravar automaticamente,,,"Brazilian Society of Parenteral and Enteral Nutrition Diretriz BRASPEN de Enfermagem em Terapia Nutricional Oral, Enteral e Parenteral",
drive,1nAnS9Lgf5Ywwv43xtoq369StrZQaTTIU,55,proposta de capa — não gravar automaticamente,,,EDIÇÃO TEMÁTICA: BOAS PRÁTICAS NO PROCESSO DE CUIDADO PESQUISA COMO CENTRALIDADE DA ENFERMAGEM Boas práticas para segurança do paciente em centro cirúrgico,
drive,1Zr2cWKl5SsHDYTNdiRLLHNFLI0JM2O7v,60,proposta de capa — não gravar automaticamente,,,cirúrgico em serviços de saúde Gerência de Vigilância e Monitoramento em Serviços de Saúde - GVIMS,
drive,1JQkYmjfUSx_Nhhh-z2PxKs_RG5s_8p2z,28,proposta de capa — não gravar automaticamente,,,MINISTERIO DA SAUDE Anexo 03:PROTOCOLO PARA CIRURGIA,
drive,1tlLGjy3H7HybRDJfw7UqUxbmA2SrcVdQ,59,proposta de capa — não gravar automaticamente,,,Artigo A segurança do paciente cirúrgico na perspectiva da vigilância sanitária — uma reflexão teórica Surgical patient safety from the perspective of health surveillance — a,
drive,1yAYbvBHEf6A_xWlq9f-xjBk4BTgtABnN,172,proposta de capa — não gravar automaticamente,,,Sutura Simples: Guia para Enfermeiros CONSELHO REGIONAL DE ENFERMAGEM DE SÃO PAULO,
drive,1x6ItDqToXxEVWogytRPZIMvj0k9s_eT3,15,proposta de capa — não gravar automaticamente,,,III SIMPÓSIO DE PESQUISA CIENTÍFICA II CONGRESSO DE ENFERMAGEM DO UNIRIOS,
drive,1cvepErJkxwdGQqpbFa9XsKNEXupDtVpM,6,proposta de capa — não gravar automaticamente,,,"O CONSELHO FEDERAL DE ENFERMAGEM - COFEN, no uso das",
drive,1JVN_nsRJnsqjoo8DuKWaPVEHZF0QAeyr,25,proposta de capa — não gravar automaticamente,,,"Dispõe sobre a atuação da Enfermagem na Saúde Digital, normatizando a Telenfermagem",
drive,12E3zeZALF2fXu7Axkq-bPbqqGi8PpkLa,43,proposta de capa — não gravar automaticamente,,,ARTIGO ORIGINAL Teleconsulta de enfermagem ao paciente submetido à cirurgia geral: inovação tecnológica,
